common_name,apisum_gene_id,apisum_protein_id,ncbi_gene_id,ncbi_protein_id
Stylin-01,ACYPI009006,ACYPI009006-PA,NM_001162314.1,NP_001155786.1
Stylin-02,ACYPI003649,ACYPI003649-PA,NM_001162671.2,NP_001156143.1
Stylin-03,ACYPI001610,ACYPI001610-PA,NM_001161959.2,NP_001155431.1
Stylin-04,ACYPI002877,ACYPI002877-PA,NM_001172260.1,NP_001165731.1
Stylin-04bis,ACYPI000308,ACYPI000308-PA,NM_001172268.2,NP_001165739.1
Stylin-05,ACYPI007911,ACYPI007911-PA,NM_001163252.1,NP_001156724.1
